frame_number,timestamp_sec,src_ip,src_entity,dst_ip,dst_entity,port,protocol,message_type,description,phase,step_ref,spec_reference
900,6.328024000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
901,6.328076000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
902,6.328104000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
906,6.348331000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
907,6.348442000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
908,6.348564000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
909,6.348599000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
910,6.353728000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
911,6.354004000,127.0.0.1,SCP1,127.0.1.10,NRF1,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
912,6.354194000,127.0.1.10,NRF1,127.0.0.1,SCP1,57282,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
914,6.354334000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43642,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
917,6.368804000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
918,6.368872000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
919,6.368991000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
920,6.369024000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
923,6.389279000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
924,6.389388000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
925,6.389485000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
926,6.389537000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
930,6.409801000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
931,6.409902000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
932,6.410008000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
933,6.410044000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
938,6.430248000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
939,6.430369000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
940,6.430478000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
941,6.430523000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
944,6.450726000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
